"bush_02022005" "bush_02032001" "bush_03022003" "bush_20012004" "bush_23012007" "bush_24092001" "bush_28012003" "bush_28012008" "bush_31012008" "obama_08092011" "obama_09092009" "obama_12012016" "obama_12022013" "obama_20012015" "obama_24012012" "obama_24022009" "obama_25012011" "obama_27012010" "obama_28012014"
"who" 0.233599377068328 0.364050056882821 0.332594235033259 0.323009690290709 0.214056368176953 0.389736927573888 0.32967032967033 0.275055870723741 0.279589934762349 0.542618132489261 0.557903634826712 0.621023932141775 0.212117194750099 0.334541399498188 0.503225806451613 0.380981408107284 0.366348292555279 0.386340977068794 0.250296403635885
"all" 0.467198754136656 0.364050056882821 0.57280118255728 0.36101083032491 0.32108455226543 0.584605391360831 0.567765567765568 0.257864878803507 0.354147250698975 0.406963599366946 0.304311073541843 0.348379279006362 0.344690441468912 0.264845274602732 0.206451612903226 0.228588844864371 0.366348292555279 0.46111665004985 0.316163878276907
"or" 0.330932450846798 0.318543799772469 0.277161862527716 0.304009120273608 0.0891901534070639 0.389736927573888 0.274725274725275 0.189100911122572 0.428704566635601 0.29391815509835 0.557903634826712 0.787640109057861 0.265146493437624 0.306662949540006 0.464516129032258 0.472416946053033 0.300928954598979 0.373878364905284 0.316163878276907
"has" 0.253065991824022 0.341296928327645 0.535846267553585 0.323009690290709 0.338922582946843 0.422215004871712 0.677655677655678 0.257864878803507 0.465983224603914 0.29391815509835 0.270498732037194 0.227203877612845 0.172345220734456 0.264845274602732 0.296774193548387 0.289545870161536 0.327096689781499 0.286640079760718 0.342510868133316
"so" 0.29199922133541 0.614334470989761 0.147819660014782 0.342010260307809 0.392436674991081 0.129912309191296 0.146520146520147 0.481347773766546 0.354147250698975 0.27130906624463 0.169061707523246 0.318085428657982 0.357947766140793 0.376359074435461 0.374193548387097 0.304785126485828 0.22242574905142 0.348953140578265 0.316163878276907
"us" 0.272532606579716 0.182025028441411 0.240206947524021 0.190005700171005 0.51730288976097 0.454693082169536 0.238095238095238 0.395392814165377 0.410065237651445 0.361745421659507 0.253592561284869 0.514995455922448 0.251889168765743 0.404237524393644 0.154838709677419 0.289545870161536 0.431767630511579 0.23678963110668 0.263469898564089
"new" 0.29199922133541 0.25028441410694 0.203252032520325 0.285008550256508 0.285408490902604 0.227346541084768 0.201465201465201 0.429774798005845 0.242311276794035 0.248699977390911 0.084530853761623 0.287791578309603 0.344690441468912 0.571508224142738 0.348387096774194 0.320024382810119 0.471019233285359 0.249252243270189 0.395204847846134
"now" 0.272532606579716 0.227531285551763 0.147819660014782 0.171005130153905 0.178380306814128 0.0974342318934719 0.146520146520147 0.189100911122572 0.130475302889096 0.474790865928103 0.608622147083686 0.40896697970312 0.517035662203367 0.23696682464455 0.348387096774194 0.396220664431576 0.353264424964019 0.448654037886341 0.23712290870768
"american" 0.0778664590227759 0.136518771331058 0.258684405025868 0.247007410222307 0.160542276132715 0.32478077297824 0.274725274725275 0.343819838404676 0.335507921714818 0.339136332805788 0.169061707523246 0.333232353832172 0.251889168765743 0.264845274602732 0.438709677419355 0.411459920755867 0.2616773518252 0.249252243270189 0.276643393492293
"at" 0.253065991824022 0.43230944254835 0.258684405025868 0.133003990119704 0.32108455226543 0.454693082169536 0.274725274725275 0.275055870723741 0.279589934762349 0.27130906624463 0.270498732037194 0.196910027264465 0.198859870078218 0.459994424310008 0.335483870967742 0.182871075891496 0.300928954598979 0.174476570289133 0.250296403635885
"do" 0.116799688534164 0.204778156996587 0.184774575018477 0.209006270188106 0.214056368176953 0.0974342318934719 0.164835164835165 0.189100911122572 0.130475302889096 0.474790865928103 0.321217244294167 0.348379279006362 0.371205090812674 0.334541399498188 0.32258064516129 0.259067357512953 0.353264424964019 0.348953140578265 0.316163878276907
"americans" 0.272532606579716 0.159271899886234 0.314116777531412 0.266007980239407 0.214056368176953 0.454693082169536 0.311355311355311 0.189100911122572 0.186393289841566 0.29391815509835 0.338123415046492 0.227203877612845 0.172345220734456 0.250906049623641 0.258064516129032 0.213349588540079 0.15700641109512 0.348953140578265 0.342510868133316
"an" 0.428265524625268 0.204778156996587 0.277161862527716 0.209006270188106 0.231894398858366 0.357258850276064 0.274725274725275 0.154718927282104 0.279589934762349 0.474790865928103 0.287404902789518 0.136322326567707 0.172345220734456 0.0975745748536381 0.32258064516129 0.320024382810119 0.1962580138689 0.162013958125623 0.316163878276907
"health" 0.175199532801246 0.295790671217292 0.147819660014782 0.323009690290709 0.32108455226543 0 0.146520146520147 0.13752793536187 0.111835973904939 0.113045444268596 1.2341504649197 0.212056952438655 0.10605859737505 0.167270699749094 0.0774193548387097 0.411459920755867 0.23550961664268 0.23678963110668 0.184428928994862
"than" 0.214132762312634 0.364050056882821 0.221729490022173 0.0760022800684021 0.160542276132715 0.194868463786944 0.21978021978022 0.189100911122572 0.316868592730662 0.158263621976034 0.270498732037194 0.196910027264465 0.278403818109505 0.376359074435461 0.309677419354839 0.182871075891496 0.274761219416459 0.174476570289133 0.368857857989725
"congress" 0.311465836091104 0.159271899886234 0.203252032520325 0.247007410222307 0.214056368176953 0.16239038648912 0.183150183150183 0.481347773766546 0.242311276794035 0.27130906624463 0.236686390532544 0.121175401393517 0.251889168765743 0.223027599665459 0.258064516129032 0.213349588540079 0.17009027868638 0.199401794616152 0.302990383348702
